SampN,As,Au,Cu,Mo,bn_ppm,cp_ppm,cc_ppm,cv_ppm,en_ppm,py_ppm,po_ppm,mb_ppm,ga_ppm,sp_ppm,TS_ppm,Rock,Alteration
48011,50,0.08,4.33,38,48000,12000,0,0,0,0,0,0,0,0,60000,IGN,IAA
75979,110,0.05,1.72,13,0,12000,0,0,0,28000,0,0,0,0,40000,VA,IAA
69393,50,0.07,0.62,140,0,13500,0,0,0,16500,0,0,0,0,30000,QMD,PHY
39062,50,0.11,1.23,21,0,24000,0,0,0,16000,0,0,0,0,40000,QMD,PHY
30404,160,0.25,5.11,26,8000,12000,0,0,0,20000,0,0,0,0,40000,VA,IAA
16433,72,0.05,0.09,4.9,0,3000,0,0,0,27000,0,0,0,0,30000,QMD,PHY
74397,190,0.06,2.78,42,0,40000,0,0,0,10000,0,0,0,0,50000,VA,AAA
80481,237.65,0.01,0.07,5.39,10000,10000,0,0,0,80000,0,0,0,0,100000,QMD,UAL
49658,710,0.04,1.3,34,6000,0,18000,0,0,36000,0,0,0,0,60000,VA,AAA
55834,50,0.24,1.27,64,0,40000,0,0,0,0,0,0,0,0,40000,QMD,PHY
78886,29.88,0.13,0.12,6.82,0,0,0,0,0,10000,0,0,0,0,10000,QMD,PHY
65611,50,0.02,0.18,83,0,4000,0,0,0,36000,0,0,0,0,40000,VA,PRO
47347,120,0.03,0.66,335,0,21000,0,0,0,9000,0,0,0,0,30000,VA,IAA
33933,550,0.72,0.81,44,0,18000,0,0,0,42000,0,0,0,0,60000,QMD,PHY
30536,50,0.03,0.22,21,0,6000,0,0,0,14000,0,0,0,0,20000,QMD,PHY
28528,50,0.05,2.24,14,0,24000,0,0,0,6000,0,0,0,0,30000,BAD,IAA
40751,50,0.07,0.9,41,7000,2000,0,0,0,1000,0,0,0,0,10000,VA,PRO
78797,72.65,0.12,0.11,7.61,0,4000,0,0,0,36000,0,0,0,0,40000,QMD,PHY
23744,29.5,0.07,0.11,15.05,0,3500,0,0,0,31500,0,0,0,0,35000,QMD,UAL
69180,50,0.05,1.6,21,0,28000,0,0,0,12000,0,0,0,0,40000,IGN,AAA
68838,650,0.05,0.49,145,12000,0,0,0,3000,15000,0,0,0,0,30000,QMD,AAA
38494,50,0.06,2.23,10,4000,32000,0,0,0,4000,0,0,0,0,40000,VA,IAA
40743,50,0.04,0.83,55,4000,16000,0,0,0,0,0,0,0,0,20000,VA,PRO
37903,50,0.07,0.53,130,0,20000,0,0,0,20000,0,0,0,0,40000,IGN,AAA
40708,50,0.52,2.39,93,30000,20000,0,0,0,0,0,0,0,0,50000,QMD,AAA
31899,1300,0.02,0.82,76,0,0,3000,3000,0,24000,0,0,0,0,30000,IGN,AAA
49735,50,0.03,0.28,93,0,12000,0,0,0,18000,0,0,0,0,30000,VA,PRO
66180,50,0.12,1.78,5,24000,6000,0,0,0,0,0,0,0,0,30000,VA,PRO
35493,270,0.04,1.7,16,12000,4000,0,0,0,24000,0,0,0,0,40000,IGN,AAA
55631,260,0.03,0.42,5,0,5000,0,0,0,45000,0,0,0,0,50000,IGN,AAA
82577,50,0.14,2.65,65,0,40000,0,0,0,0,0,0,0,0,40000,VA,AAA
70979,50,0.09,0.92,77,0,21000,0,0,0,9000,0,0,0,0,30000,QMD,PHY
30483,50,0.01,0.68,99,4500,6000,0,0,0,19500,0,0,0,0,30000,VA,IAA
49318,50,0.23,2.99,105,12000,15000,0,0,0,3000,0,0,0,0,30000,QMD,PHY
12173,4.1,0.59,0.8,10.1,8000,12000,0,0,0,18800,0,1200,0,0,40000,QMD,PTS
77868,133,0.08,0.39,9.98,3500,3500,0,0,0,63000,0,0,0,0,70000,QMD,PHY
65709,200,0.19,0.63,41,0,18000,0,0,0,22000,0,0,0,0,40000,QMD,PHY
28495,50,0.02,0.06,23,0,3000,0,0,0,7000,0,0,0,0,10000,VA,AAA
34305,50,0.04,0.75,150,0,14000,0,0,0,6000,0,0,0,0,20000,QMD,AAA
63804,50,0.27,0.97,38,0,20000,0,0,0,20000,0,0,0,0,40000,QMD,PHY
61307,50,0.02,1.16,78,0,24000,0,0,0,6000,0,0,0,0,30000,QMD,PHY
75378,50,0.03,0.48,42,0,17500,0,0,0,7500,0,0,0,0,25000,QMD,PHY
13354,67.5,0.24,0.2,29.6,0,9000,0,0,0,21000,0,0,0,0,30000,QMD,PHY
82710,200,0.03,0.21,27,0,10000,0,0,0,10000,0,0,0,0,20000,QMD,PHY
31403,50,0.01,0.01,46,0,1000,0,0,0,9000,0,0,0,0,10000,IGN,AAA
39067,50,0.11,1.28,76,0,32000,0,0,0,8000,0,0,0,0,40000,QMD,PHY
86065,50,0.08,1.33,37,4000,6000,0,0,0,0,0,0,0,0,10000,VA,PRO
62911,50,0.12,0.68,165,0,15000,0,0,0,0,0,0,0,0,15000,FLT,PHY
59967,50,0.08,1.18,72,12000,16000,0,0,0,12000,0,0,0,0,40000,VA,PRO
12131,2.6,0.31,0.56,17.35,0,3800,0,0,0,16000,0,200,0,0,20000,QMD,PTS
53333,50,0.08,1.16,30,14137.5,14355,0,0,0,15007.5,0,0,0,0,43500,VA,PRO
30315,1830,0.04,1.37,250,9000,0,3000,0,0,18000,0,0,0,0,30000,IGN,AAA
31200,130,0.11,0.86,83,4000,4000,0,0,0,2000,0,0,0,0,10000,QMD,AAA
13007,5.6,0.07,0.56,70.2,0,12000,0,0,0,18000,0,0,0,0,30000,QMD,PHY
16862,14.9,0.05,0.09,38,0,2000,0,0,0,3000,0,0,0,0,5000,FLT,PHY
28972,25,0.01,0.4,41,0,12000,0,0,0,28000,0,0,0,0,40000,QMD,PHY
78773,26.6,0.08,0.14,8.93,0,42000,0,0,0,28000,0,0,0,0,70000,QMD,PHY
36898,50,0.03,0.13,48,0,8000,0,0,0,32000,0,0,0,0,40000,QMD,PHY
55000,50,0.04,1.22,135,0,28000,0,0,0,42000,0,0,0,0,70000,VA,IAA
47891,1120,0.07,1.55,56,12000,0,0,0,12000,36000,0,0,0,0,60000,IGN,AAA
13992,28,0.03,0.52,379,0,6000,0,0,0,44000,0,0,0,0,50000,QMD,PHY
62933,50,0.1,0.59,62,0,18000,0,0,0,12000,0,0,0,0,30000,QMD,AAA
14627,14.3,0.12,0.71,28.7,0,19250,0,0,0,15750,0,0,0,0,35000,QMD,PHY
37433,50,0.2,0.44,35,0,8000,0,0,0,12000,0,0,0,0,20000,QMD,PHY
32404,50,0.05,1.75,50,10000,2000,6000,0,0,2000,0,0,0,0,20000,VA,IAA
30110,50,0.16,0.67,235,0,15000,0,0,0,15000,0,0,0,0,30000,QMD,AAA
57173,50,0.01,0.06,95,0,3000,0,0,0,27000,0,0,0,0,30000,QMD,AAA
28615,50,0.05,1.44,270,4000,4000,0,0,0,2000,0,0,0,0,10000,VA,PRO
75311,50,0.06,1.12,13,0,28000,0,0,0,12000,0,0,0,0,40000,VA,PRO
48895,530,0.02,0.62,100,0,18000,0,0,0,42000,0,0,0,0,60000,IGN,AAA
13721,75.9,0.03,0.09,42.1,0,1500,0,0,0,28500,0,0,0,0,30000,QMD,AAA
72680,50,0.04,0.39,10,0,21000,0,0,0,9000,0,0,0,0,30000,IGN,IAA
68724,360,0.02,1.02,41,6000,0,24000,0,0,30000,0,0,0,0,60000,IGN,AAA
85582,50,0.05,0.08,12,0,0,0,0,0,10000,0,0,0,0,10000,BIGD,PHY
23753,97.3,0.03,0.04,1.51,0,2500,0,0,0,22500,0,0,0,0,25000,QMD,UAL
48390,50,0.04,1.27,21,0,21000,0,0,0,9000,0,0,0,0,30000,VA,IAA
65695,790,0.06,0.73,50,0,20000,0,0,0,20000,0,0,0,0,40000,QMD,PHY
44533,50,0.06,0.8,105,15000,0,0,0,0,0,0,0,0,0,15000,VA,PRO
43367,400,0.02,0.47,42,0,9000,0,0,0,21000,0,0,0,0,30000,IGN,AAA
37443,85,0.09,0.58,143,0,12000,0,0,0,8000,0,0,0,0,20000,QMD,PHY
23725,79.9,0.12,0.07,4.19,0,3000,0,0,0,12000,0,0,0,0,15000,FLT,UAL
55700,250,0.05,0.36,27,0,6000,0,0,0,54000,0,0,0,0,60000,IGN,AAA
79094,519.05,0.04,0.21,6.5,9000,9000,0,0,0,42000,0,0,0,0,60000,QMD,PHY
59927,50,0.16,2.1,12,22500,2500,0,0,0,0,0,0,0,0,25000,VA,PRO
69890,190,0.77,0.46,10,0,9000,0,0,0,21000,0,0,0,0,30000,QMD,PHY
80731,4.67,0.01,0.03,40.75,0,1000,0,0,0,9000,0,0,0,0,10000,QMD,PHY
39131,50,0.07,0.17,5,0,12000,0,0,0,8000,0,0,0,0,20000,BIGD,PHY
30314,3660,0.04,1.38,365,9000,0,3000,0,0,18000,0,0,0,0,30000,IGN,AAA
33207,430,0.05,1.97,5,0,28000,0,0,0,12000,0,0,0,0,40000,IGN,IAA
75411,50,0.02,0.06,53,0,9000,0,0,0,1000,0,0,0,0,10000,QMD,PHY
12055,14,0.08,0.21,37.8,0,2000,0,0,0,18000,0,0,0,0,20000,QMD,PTS
64418,50,0.18,1.18,95,35000,10000,0,0,0,5000,0,0,0,0,50000,QMD,PHY
83144,210,1.07,0.7,67,0,15000,0,0,0,35000,0,0,0,0,50000,QMD,PHY
49753,50,0.04,0.24,67,0,4000,0,0,0,16000,0,0,0,0,20000,VA,PRO
72109,430,0.05,1.32,17,9000,0,0,0,4500,31500,0,0,0,0,45000,IGN,AAA
85607,50,0.2,0.85,48,0,21000,0,0,0,9000,0,0,0,0,30000,QMD,PHY
59968,100,0.05,0.92,58,12000,6000,0,0,0,12000,0,0,0,0,30000,VA,PRO
23610,8.29,0.05,0.12,2.35,0,26000,0,0,0,12000,0,2000,0,0,40000,QMD,PRO
48427,50,0.04,1.25,68,0,32000,0,0,0,8000,0,0,0,0,40000,QMD,PHY
67094,140,0.08,1.36,66,0,20000,0,0,0,5000,0,0,0,0,25000,QMD,PHY
69958,110,0.04,0.54,37,0,4000,0,0,0,16000,0,0,0,0,20000,FLT,PRO
23720,26.5,0.04,0.07,3.83,0,0,0,0,0,5000,0,0,0,0,5000,FLT,UAL
36467,140,0.04,0.77,38,0,27000,0,0,0,3000,0,0,0,0,30000,IGN,IAA
24930,12,0.07,0.2,7.42,0,12000,0,0,0,48000,0,0,0,0,60000,QMD,PHY
47829,100,0.02,0.46,5,4000,20000,0,0,0,16000,0,0,0,0,40000,IGN,AAA
78963,9.26,0.01,0.01,3.65,0,500,0,0,0,9500,0,0,0,0,10000,QMD,PRO
23230,17.6,0.27,0.64,36.8,0,12000,0,0,0,48000,0,0,0,0,60000,VA,PHY
86104,490,0.09,0.63,155,0,18000,0,0,0,12000,0,0,0,0,30000,VA,PRO
48434,50,0.01,0.71,205,0,21000,0,0,0,9000,0,0,0,0,30000,QMD,PHY
37969,470,0.04,0.13,32,0,3000,0,0,6000,51000,0,0,0,0,60000,QMD,AAA
15501,50.4,0.25,0.63,44.2,0,14000,0,0,0,20300,0,700,0,0,35000,QMD,PHY
69250,50,0.07,1.1,5,12000,12000,0,0,0,6000,0,0,0,0,30000,QMD,AAA
46222,50,0.11,1.33,42,0,24000,0,0,0,6000,0,0,0,0,30000,QMD,PHY
76396,50,0.13,1.67,21,24000,6000,0,0,0,0,0,0,0,0,30000,VA,IAA
33814,50,0.08,1.26,205,0,27000,0,0,0,3000,0,0,0,0,30000,VA,PRO
31248,50,0.05,2.06,170,6000,8000,0,0,0,6000,0,0,0,0,20000,VA,PRO
63603,50,0.07,3.56,16,0,30000,0,0,0,20000,0,0,0,0,50000,VA,IAA
76436,50,0.03,1.06,52,12000,9000,0,0,0,9000,0,0,0,0,30000,VA,PRO
35165,50,0.04,0.72,100,0,18000,0,0,0,2000,0,0,0,0,20000,QMD,PHY
46718,50,0.17,0.07,5,0,4000,0,0,0,36000,0,0,0,0,40000,QMD,PHY
26964,50,0.05,0.87,155,0,18000,0,0,0,12000,0,0,0,0,30000,VA,IAA
72773,50,0.02,0.86,45,4000,4000,0,0,0,2000,0,0,0,0,10000,VA,PRO
55868,50,0.11,0.29,5,0,0,0,0,0,20000,0,0,0,0,20000,BIGD,PHY
32422,50,0.05,3.14,24,12000,6000,9000,0,0,3000,0,0,0,0,30000,VA,IAA
58504,50,0.06,0.97,23,0,17500,0,0,0,32500,0,0,0,0,50000,HBX,PHY
55049,50,0.06,1.23,81,0,27500,0,0,0,27500,0,0,0,0,55000,VA,IAA
29509,50,0.06,1.16,30,0,14000,0,0,0,6000,0,0,0,0,20000,IGN,IAA
18276,46.8,0.09,0.85,7.43,5000,14000,0,0,0,30000,0,1000,0,0,50000,HBX,PHY
36424,50,0.05,0.73,26,4000,16000,0,0,0,20000,0,0,0,0,40000,IGN,AAA
43488,50,0.28,0.5,71,0,12000,0,0,0,18000,0,0,0,0,30000,QMD,PHY
48808,50,0.06,4.63,3730,0,32000,0,0,0,48000,0,0,0,0,80000,IGN,AAA
25083,955,0.04,0.75,75,8000,0,4000,0,0,28000,0,0,0,0,40000,IGN,AAA
39101,50,0.11,0.36,33,0,10000,0,0,0,10000,0,0,0,0,20000,QMD,PHY
15856,39.9,0.3,0.2,6.87,0,8750,0,0,0,16250,0,0,0,0,25000,HBX,PHY
17363,79.3,1.81,0.16,7.98,0,9000,0,0,0,19500,0,1500,0,0,30000,QMD,PHY
62162,230,0.13,1.66,58,0,30000,0,0,0,0,0,0,0,0,30000,QMD,PHY
32310,270,0.05,0.71,50,0,12000,0,0,0,18000,0,0,0,0,30000,IGN,AAA
28670,50,0.07,2.19,170,0,21000,0,0,0,9000,0,0,0,0,30000,VA,PRO
12909,27.6,0.03,0.18,18.1,0,3500,0,0,0,31500,0,0,0,0,35000,QMD,PHY
15802,12.9,0.19,0.55,22.1,0,16500,0,0,0,13500,0,0,0,0,30000,HBX,PHY
78188,19.45,0.08,0.14,5.31,0,0,0,0,0,30000,0,0,0,0,30000,QMD,PHY
35023,50,0.08,2.2,5,0,24708.64,0,0,0,30891.36,0,0,0,0,55600,VA,IAA
31159,350,0.14,2.31,28,16000,16000,0,0,0,8000,0,0,0,0,40000,VA,IAA
36475,50,0.04,0.68,69,0,21000,0,0,0,39000,0,0,0,0,60000,VA,AAA
29594,25,0.05,1.03,68,0,24000,0,0,0,16000,0,0,0,0,40000,VA,IAA
23364,27.4,0.02,0.02,10.35,0,1000,0,0,0,19000,0,0,0,0,20000,IGN,AAA
31984,50,0.16,2.53,17,4000,24000,0,0,0,12000,0,0,0,0,40000,VA,IAA
80347,37.59,0.05,0.3,5.35,0,16000,0,0,0,64000,0,0,0,0,80000,QMD,PHY
30023,290,0.41,0.51,165,0,20000,0,0,0,20000,0,0,0,0,40000,QMD,AAA
14625,36,0.12,0.42,9.72,0,19250,0,0,0,15750,0,0,0,0,35000,QMD,PHY
29638,62,0.07,1.36,105,0,27000,0,0,0,3000,0,0,0,0,30000,VA,PRO
39174,50,0.07,0.47,45,0,12000,0,0,0,28000,0,0,0,0,40000,QMD,PHY
78775,17.15,0.17,0.32,12.9,0,42000,0,0,0,28000,0,0,0,0,70000,QMD,PHY
57679,50,0.07,0.07,5,0,4710,0,0,0,42390,0,0,0,0,47100,QMD,PHY
34128,490,0.02,0.89,145,0,0,12000,0,0,28000,0,0,0,0,40000,IGN,AAA
67566,150,0.12,1.09,200,0,1000,0,0,0,9000,0,0,0,0,10000,VA,AAA
