Sample Number,X,Y,Z,Cu,Au,Mo,As,Cp,Py,TS,Alteration,Training
23460,650631.93,4765099.73,1142.24,0.01,0.0,8.11,6.0,0.0,1.0,1.0,AAA,2
30092,651325.94,4765990.58,538.59,0.11,0.03,195.0,50.0,0.6,1.4,2.0,AAA,2
34312,651421.95,4765988.52,469.67,0.6,0.04,100.0,50.0,1.6,2.4,4.0,AAA,2
47649,651165.79,4765427.76,704.23,0.41,0.05,120.0,170.0,0.4,3.2,4.0,AAA,2
19284,651343.56,4766625.8,365.7,-99.0,-99.0,-99.0,-99.0,0.5,4.5,5.0,AAA,2
24332,650549.69,4765029.41,918.85,0.21,0.03,7.26,7.98,0.7,9.3,10.0,AAA,2
28841,650915.25,4765592.42,911.62,0.01,0.01,5.0,50.0,0.3,5.7,6.0,AAA,2
69335,651473.28,4765977.11,500.38,0.87,0.03,410.0,1070.0,0.0,1.8,3.0,AAA,2
62999,651431.0,4766744.07,204.57,0.45,0.1,50.0,50.0,1.2,1.8,3.0,AAA,2
55467,651426.65,4766167.96,507.25,0.9,0.05,125.0,210.0,3.2,0.8,4.0,AAA,2
30036,651325.94,4765934.58,635.58,0.32,0.26,105.0,220.0,1.4,2.6,4.0,AAA,2
65622,651895.28,4766132.46,451.47,0.26,0.01,28.0,50.0,1.6,0.4,2.0,AAA,2
26358,650404.85,4765417.14,836.28,-99.0,-99.0,-99.0,-99.0,0.8,3.2,4.0,AAA,2
69228,651412.7,4766058.55,688.76,0.41,0.09,160.0,360.0,0.0,2.4,3.0,AAA,2
20396,651367.72,4766652.41,204.57,-99.0,-99.0,-99.0,-99.0,0.1,1.9,2.0,AAA,2
26328,650422.31,4765398.09,890.43,-99.0,-99.0,-99.0,-99.0,0.8,3.2,4.0,AAA,2
51558,651824.02,4766620.44,180.12,1.18,0.21,29.0,2030.0,0.0,3.0,6.0,AAA,2
47221,651239.75,4765446.5,939.49,0.1,0.05,42.0,50.0,0.4,1.6,2.0,AAA,2
67405,651353.2,4765480.46,821.39,1.27,0.05,57.0,1810.0,0.0,2.0,4.0,AAA,2
32549,651370.34,4765465.68,397.64,0.82,0.05,170.0,1240.0,1.6,1.6,4.0,AAA,2
14572,651230.95,4766406.4,453.0,0.11,0.09,26.7,40.7,0.35,6.65,7.0,AAA,2
31547,651292.31,4765424.83,641.34,1.43,0.03,145.0,50.0,0.5,0.5,1.0,AAA,2
31468,651306.44,4765354.84,782.28,0.62,0.0,80.0,1060.0,0.0,1.0,2.0,AAA,2
72618,651458.07,4765659.91,825.21,0.46,0.0,30.0,770.0,0.0,2.7,3.0,AAA,2
76073,651250.5,4765836.42,660.31,0.53,0.09,105.0,50.0,1.5,1.5,3.0,AAA,2
24487,650241.05,4765247.67,876.03,0.58,0.08,194.5,33.2,0.2,3.8,4.0,AAA,2
35483,651502.35,4765634.58,728.24,0.98,0.02,43.0,870.0,0.0,1.8,3.0,AAA,2
62993,651439.55,4766739.64,211.73,0.4,0.07,93.0,50.0,2.4,1.6,4.0,AAA,2
36205,651130.02,4765153.12,703.4,0.42,0.02,125.0,340.0,1.2,2.8,4.0,AAA,2
35537,651473.25,4765661.74,627.85,1.99,0.07,26.0,160.0,1.0,1.5,5.0,AAA,2
40595,651611.08,4765572.61,616.34,0.17,0.01,34.0,270.0,0.3,2.4,3.0,AAA,2
59865,651753.28,4766053.56,632.9,-99.0,-99.0,-99.0,-99.0,0.0,4.0,5.0,AAA,2
31559,651289.92,4765435.16,619.81,1.88,0.04,74.0,50.0,2.4,1.6,4.0,AAA,2
13898,650587.71,4765471.48,437.37,0.18,0.03,88.3,27.1,0.3,5.7,6.0,AAA,2
35057,651529.92,4765987.96,725.72,2.06,0.08,22.0,430.0,3.0,3.0,6.0,AAA,2
54563,651130.93,4766097.06,828.47,0.32,0.07,62.0,50.0,1.5,3.5,5.0,AAA,2
37242,650938.11,4766024.25,851.22,0.05,0.02,5.0,50.0,1.5,3.5,5.0,AAA,2
28794,650921.16,4765549.27,994.91,0.17,0.02,61.0,50.0,0.9,5.1,6.0,AAA,2
29331,651322.36,4765861.05,546.48,0.5,0.06,435.0,1385.0,0.2,3.4,4.0,AAA,2
30318,651310.34,4765463.2,803.01,1.05,0.02,76.0,420.0,0.0,1.8,3.0,AAA,2
51573,651819.29,4766625.01,150.85,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,AAA,2
68834,651310.38,4765868.46,597.15,1.03,0.19,240.0,3410.0,0.3,2.1,3.0,AAA,2
65909,651234.5,4765570.9,964.79,0.91,0.06,85.0,1230.0,0.0,1.8,3.0,AAA,2
30363,651305.78,4765506.59,724.3,2.05,0.04,33.0,50.0,1.5,2.5,5.0,AAA,2
67423,651341.75,4765489.87,788.59,2.04,0.05,60.0,770.0,0.0,2.5,5.0,AAA,2
76064,651254.86,4765830.51,676.74,0.48,0.09,135.0,190.0,0.8,3.2,4.0,AAA,2
42330,651399.3,4765342.21,720.23,0.45,0.03,86.0,1720.0,0.0,2.4,4.0,AAA,2
47272,651211.54,4765465.19,843.27,0.49,0.03,38.0,770.0,0.4,1.2,2.0,AAA,2
66997,651799.03,4766169.18,604.91,0.65,0.01,26.0,710.0,0.0,0.4,1.0,AAA,2
33275,651417.4,4765827.14,677.1,2.93,0.36,310.0,780.0,2.1,2.8,7.0,AAA,2
28935,650900.31,4765675.83,743.84,0.01,0.08,30.0,61.0,0.25,4.75,5.0,AAA,2
25822,651054.42,4765344.02,1078.04,-99.0,-99.0,-99.0,-99.0,0.225,4.275,4.5,AAA,2
47864,651263.59,4765433.68,849.54,0.58,0.0,77.0,260.0,0.0,4.9,7.0,AAA,2
57072,651209.51,4765582.03,834.18,0.84,0.01,30.0,50.0,2.4,1.6,4.0,AAA,2
57628,651235.32,4765720.93,655.73,1.8,0.13,110.0,2320.0,1.6,5.6,8.0,AAA,2
25062,651126.13,4765462.29,938.11,0.09,0.01,166.0,195.0,0.0,3.2,4.0,AAA,2
34764,651117.98,4765456.05,534.75,0.18,0.11,28.0,100.0,0.8,3.2,4.0,AAA,2
54191,651535.95,4765592.69,663.37,0.84,0.03,61.0,50.0,1.2,2.4,4.0,AAA,2
55675,650852.25,4765966.38,871.66,0.09,0.01,10.0,50.0,0.0,4.0,4.0,AAA,2
13933,650605.23,4765471.68,369.6,0.15,0.02,127.5,50.4,1.2,3.75,5.0,AAA,2
67033,651776.86,4766188.59,539.22,1.44,0.01,5.0,50.0,1.6,2.4,4.0,AAA,2
49598,651315.53,4765290.35,718.51,0.88,0.02,32.0,50.0,2.0,2.0,4.0,AAA,2
55458,651425.21,4766168.69,525.18,0.01,0.06,67.0,160.0,2.4,1.6,4.0,AAA,2
36482,651375.46,4765968.46,703.08,0.58,0.05,18.0,50.0,3.0,2.0,5.0,AAA,2
55699,650877.4,4765965.92,830.78,0.26,0.03,5.0,530.0,0.0,5.4,6.0,AAA,2
24288,650592.25,4765033.35,995.77,0.69,0.05,14.95,100.5,1.4,4.9,7.0,AAA,2
42335,651396.32,4765345.22,711.17,0.85,0.06,84.0,2030.0,0.0,2.6,4.0,AAA,2
37248,650941.68,4766021.78,840.04,0.04,0.02,5.0,50.0,1.2,4.8,6.0,AAA,2
47852,651256.65,4765439.22,871.84,1.73,0.04,47.0,50.0,1.2,3.0,6.0,AAA,2
52277,651198.06,4765083.16,575.65,0.07,0.0,13.0,210.0,0.0,5.0,5.0,AAA,2
50060,651229.14,4765253.4,671.48,2.04,0.03,69.0,4810.0,0.75,2.75,5.0,AAA,2
33641,651433.2,4765730.08,862.99,0.08,0.06,63.0,50.0,0.0,0.0,0.0,AAA,2
25931,650997.4,4765398.41,874.81,-99.0,-99.0,-99.0,-99.0,1.65,1.2,3.0,AAA,2
72121,651591.39,4765924.97,636.81,0.79,0.01,48.0,740.0,0.0,3.2,4.0,AAA,2
57493,651288.12,4765655.94,912.36,1.22,0.0,42.0,380.0,0.8,2.4,4.0,AAA,2
37271,650955.35,4766012.28,797.15,0.02,0.01,15.0,50.0,0.45,2.55,3.0,AAA,2
57631,651234.28,4765722.57,650.06,0.5,0.07,120.0,50.0,0.6,1.2,2.0,AAA,2
28847,650914.52,4765597.83,900.93,0.01,0.0,10.0,50.0,0.0,4.75,5.0,AAA,2
57048,651222.84,4765571.73,879.12,1.1,0.13,44.0,50.0,0.9,1.2,3.0,AAA,2
24529,650227.27,4765246.97,793.17,0.1,0.04,4.19,12.15,0.175,3.325,3.5,AAA,2
41948,651475.96,4766117.29,639.67,1.01,0.1,17.0,140.0,2.0,3.0,5.0,AAA,2
35665,651406.77,4765744.42,395.01,0.57,0.03,135.0,520.0,0.9,2.1,3.0,AAA,2
13970,650624.18,4765471.65,298.07,0.09,0.0,61.8,16.1,0.28,3.72,4.0,AAA,2
22408,651455.97,4766744.15,259.46,-99.0,-99.0,-99.0,-99.0,1.8,1.2,3.0,AAA,2
68232,651265.44,4765421.45,798.69,1.41,0.01,49.0,520.0,0.0,1.8,3.0,AAA,2
31544,651292.89,4765422.23,646.71,0.91,0.01,31.0,50.0,2.4,0.6,3.0,AAA,2
59871,651751.1,4766055.47,621.25,-99.0,-99.0,-99.0,-99.0,1.0,3.5,5.0,AAA,2
68295,651235.31,4765368.4,688.45,0.49,0.0,560.0,50.0,0.2,0.7,1.0,AAA,2
24282,650598.02,4765033.98,1006.27,0.87,0.11,13.3,18.0,1.01525,5.20725,6.55,AAA,2
54588,651112.97,4766071.08,789.71,0.43,0.04,105.0,50.0,0.8,3.2,4.0,AAA,2
25104,651127.16,4765506.36,866.61,0.93,0.05,28.0,710.0,0.0,3.0,4.0,AAA,2
68217,651272.33,4765434.24,824.94,1.44,0.0,44.0,150.0,0.0,1.95,3.0,AAA,2
34125,651506.18,4765880.22,817.56,0.7,0.05,64.0,110.0,0.0,2.8,4.0,AAA,2
47988,651336.67,4765368.06,621.92,1.71,0.05,48.0,770.0,0.0,4.2,6.0,AAA,2
28816,650918.37,4765569.66,956.02,0.43,0.06,63.0,50.0,1.4,2.1,3.5,AAA,2
48064,651379.39,4765317.91,484.98,0.74,0.02,735.0,50.0,1.6,2.4,4.0,AAA,2
36476,651378.84,4765965.62,714.24,0.92,0.08,41.0,120.0,3.6,2.4,6.0,AAA,2
47855,651258.39,4765437.83,866.27,0.94,0.02,59.0,50.0,4.0,1.0,5.0,AAA,2
28803,650920.02,4765557.62,979.01,0.52,0.05,65.0,50.0,1.0,4.0,5.0,AAA,2
68223,651269.57,4765429.12,814.44,1.21,0.03,87.0,350.0,0.0,2.75,5.0,AAA,2
46870,651297.43,4765522.38,881.45,1.43,0.05,31.0,50.0,2.8,4.2,7.0,AAA,2
60707,651559.73,4765823.81,724.81,0.15,0.02,37.0,50.0,0.0,3.0,3.0,AAA,2
46864,651300.48,4765519.6,892.72,0.91,0.03,47.0,260.0,0.0,2.8,4.0,AAA,2
67420,651343.67,4765488.3,794.05,2.07,0.03,39.0,490.0,0.0,2.0,5.0,AAA,2
47843,651251.51,4765443.34,888.59,1.2,0.02,39.0,220.0,0.0,3.0,6.0,AAA,2
54229,651514.64,4765607.29,591.9,1.03,0.02,46.0,50.0,1.5,3.5,5.0,AAA,2
31830,651429.8,4765597.94,903.4,0.0,0.02,5.0,50.0,0.0,3.0,3.0,AAA,2
34131,651503.29,4765883.41,806.36,1.44,0.02,84.0,970.0,0.0,2.8,4.0,AAA,2
57000,651249.29,4765551.83,969.23,0.34,0.02,32.0,710.0,0.0,1.5,3.0,AAA,2
32766,651419.38,4765490.98,867.08,0.38,0.07,16.0,50.0,0.9,5.1,6.0,AAA,2
34276,651437.02,4765967.44,536.85,0.78,0.03,175.0,520.0,0.0,2.8,4.0,AAA,2
68301,651232.31,4765363.42,677.96,0.41,0.06,125.0,50.0,0.0,2.4,3.0,AAA,2
41990,651455.18,4766131.14,559.47,0.91,0.02,88.0,220.0,2.4,1.6,4.0,AAA,2
67006,651793.47,4766174.02,588.49,1.24,0.07,32.0,1020.0,0.0,4.0,5.0,AAA,2
55620,650793.26,4765966.07,964.5,0.33,0.03,5.0,400.0,0.5,4.5,5.0,AAA,2
47305,651194.47,4765477.11,780.64,0.21,0.02,51.0,50.0,1.2,1.8,3.0,AAA,2
76284,651499.38,4765751.29,807.9,0.09,0.03,31.0,240.0,0.0,4.75,5.0,AAA,2
33290,651423.92,4765817.68,649.39,2.1,0.14,11.0,300.0,0.6,0.9,3.0,AAA,2
32249,651169.63,4765609.7,944.19,0.99,0.02,155.0,190.0,0.0,1.8,3.0,AAA,2
37171,650894.91,4766053.74,983.23,0.05,0.02,21.0,50.0,1.2,2.8,4.0,AAA,2
68831,651314.04,4765866.76,601.59,0.56,0.08,150.0,970.0,0.0,2.8,4.0,AAA,2
68141,651305.45,4765499.53,958.14,0.86,0.02,98.0,550.0,0.0,2.25,3.0,AAA,2
28432,651333.8,4765580.12,865.0,1.11,0.02,33.0,140.0,1.0,9.0,10.0,AAA,2
30297,651312.47,4765442.95,839.75,1.11,0.0,36.0,640.0,0.0,1.8,3.0,AAA,2
31196,651352.96,4765729.66,645.72,1.52,0.16,115.0,-99.0,0.3,0.0,3.0,AAA,2
31833,651429.98,4765601.45,898.54,0.03,0.01,5.0,50.0,0.0,3.0,3.0,AAA,2
38047,650991.06,4765303.18,544.83,0.44,0.01,79.0,660.0,0.0,5.4,6.0,AAA,2
28456,651336.16,4765608.95,826.69,1.73,0.01,21.0,50.0,2.1,0.9,3.0,AAA,2
31442,651310.16,4765330.84,828.25,0.03,0.0,87.0,50.0,0.0,1.0,1.0,AAA,2
34134,651501.84,4765885.01,800.76,0.99,0.01,155.0,140.0,0.0,2.8,4.0,AAA,2
31439,651310.56,4765328.05,833.55,0.01,0.0,81.0,50.0,0.0,1.0,1.0,AAA,2
40709,651561.26,4765619.79,398.92,2.19,0.44,105.0,50.0,1.6,0.0,4.0,AAA,2
25816,651057.43,4765341.42,1089.36,-99.0,-99.0,-99.0,-99.0,0.225,4.275,4.5,AAA,2
57596,651246.94,4765703.97,716.34,1.29,0.03,73.0,50.0,0.9,0.0,3.0,AAA,2
66106,651405.56,4765474.56,623.24,1.12,0.02,35.0,110.0,0.0,1.2,3.0,AAA,2
15700,650410.36,4765098.5,968.3,0.25,0.05,202.0,58.9,0.45,2.55,3.0,AAA,2
65939,651259.54,4765557.25,912.0,0.63,0.03,55.0,600.0,0.0,2.4,4.0,AAA,2
65876,651207.93,4765585.8,1023.34,0.56,0.02,37.0,50.0,0.6,2.1,3.0,AAA,2
50063,651227.24,4765255.69,666.27,1.48,0.02,71.0,120.0,0.5,3.25,5.0,AAA,2
65637,651884.7,4766142.2,425.14,0.9,0.03,43.0,270.0,2.0,2.0,4.0,AAA,2
77947,650819.54,4764763.6,1045.73,0.09,0.01,31.55,335.5,0.68,3.2,4.0,AAA,2
34291,651430.67,4765976.19,508.86,0.48,0.03,70.0,50.0,2.0,2.0,4.0,AAA,2
49250,651351.12,4765263.82,657.55,0.33,0.02,53.0,730.0,0.0,2.8,4.0,AAA,2
30315,651310.64,4765460.31,808.26,1.37,0.04,250.0,1830.0,0.0,1.8,3.0,AAA,2
49210,651373.43,4765247.82,732.69,0.52,0.03,54.0,830.0,0.0,2.8,4.0,AAA,2
68264,651250.5,4765394.3,742.7,1.28,0.02,105.0,-99.0,1.2,1.8,3.0,AAA,2
46543,651456.32,4765431.82,644.56,1.67,0.03,70.0,50.0,3.0,0.0,3.0,IAA,2
42446,651324.2,4765427.39,518.36,0.97,0.02,155.0,50.0,2.7,0.0,3.0,IAA,2
32489,651333.6,4765498.52,507.04,1.66,0.08,51.0,1010.0,2.0,2.5,5.0,IAA,2
38495,651753.59,4766531.24,346.13,1.16,0.05,5.0,50.0,1.8,0.3,3.0,IAA,2
28518,651345.87,4765686.74,730.65,2.38,0.07,34.0,50.0,1.6,2.4,4.0,IAA,2
55026,651271.04,4765675.99,706.42,1.96,0.03,75.0,50.0,3.5,1.5,5.0,IAA,2
53813,651450.94,4765558.77,538.55,3.64,0.18,16.0,50.0,1.0,0.0,5.0,IAA,2
29248,651314.77,4765771.46,685.95,1.72,0.04,37.0,50.0,1.054,0.0,2.0,IAA,2
27120,650912.49,4765517.26,635.69,0.97,0.11,51.0,50.0,2.0,3.0,5.0,IAA,2
27098,650912.6,4765495.74,674.07,0.99,0.13,15.0,-99.0,2.4,1.6,4.0,IAA,2
48403,651361.21,4765349.11,631.24,1.1,0.04,13.0,50.0,1.2,2.8,4.0,IAA,2
29123,651318.91,4765648.68,903.58,1.71,0.01,78.0,50.0,1.95,1.05,3.0,IAA,2
26932,650919.42,4765330.73,962.07,0.51,0.02,61.0,50.0,1.8,2.2,4.0,IAA,2
32409,651280.61,4765537.06,653.01,2.73,0.05,41.0,50.0,2.0,0.0,4.0,IAA,2
75940,651321.07,4765757.75,904.32,1.64,0.02,20.0,50.0,0.6,2.4,3.0,IAA,2
48379,651338.48,4765370.12,667.92,1.58,0.01,44.0,50.0,1.0,3.0,5.0,IAA,2
60773,651528.86,4765851.69,599.54,1.5,0.04,29.0,50.0,2.1,0.9,3.0,IAA,2
29223,651314.33,4765745.94,728.95,2.37,0.07,64.0,50.0,1.2,1.2,4.0,IAA,2
46986,651241.77,4765579.04,663.48,1.17,0.05,120.0,50.0,2.0,2.0,4.0,IAA,2
33756,651453.7,4765875.32,686.23,2.63,0.23,5.0,50.0,2.7,0.9,4.5,IAA,2
34210,651466.12,4765928.8,659.66,2.99,0.25,52.0,50.0,0.0,0.0,5.0,IAA,2
42348,651388.58,4765353.18,687.66,0.58,0.03,11.0,50.0,0.9,2.1,3.0,IAA,2
77459,650549.18,4764841.79,1031.05,0.04,0.01,5.82,11.25,0.1,4.9,5.0,IAA,2
17821,650531.84,4765000.62,1065.31,1.36,0.18,-99.0,-99.0,0.9,4.5,6.0,IAA,2
46121,651429.34,4766081.5,767.61,0.98,0.03,5.0,50.0,1.2,0.8,2.0,IAA,2
35066,651524.75,4765992.07,708.98,1.22,0.1,22.0,50.0,3.0,2.0,5.0,IAA,2
29831,651325.94,4765729.58,990.65,1.16,0.01,32.0,63.0,2.5,2.5,5.0,IAA,2
