Sample.Number,X,Y,Z,Cu,Au,Mo,As,Cp,Py,TS,Alteration
12052,650728.7,4766160.44,383.01,-0.943,-0.197,-1.013,-0.696,-0.703,0.051,-0.705,PHY
12052,650728.7,4766160.44,383.01,-0.556,0.064,0.095,-0.92,-0.593,0.152,-0.634,PHY
12052,650728.7,4766160.44,383.01,-0.624,0.414,-0.407,-1.049,-0.903,0.181,-0.88,PHY
12052,650728.7,4766160.44,383.01,-0.803,0.091,-0.696,-0.635,-0.675,0.176,-0.635,PHY
12052,650728.7,4766160.44,383.01,-0.585,0.563,-0.156,-0.033,-0.542,0.166,-0.603,PHY
12052,650728.7,4766160.44,383.01,-0.744,-0.428,-0.902,-0.717,-0.714,0.323,-0.774,PHY
12052,650728.7,4766160.44,383.01,-0.678,0.225,-0.32,-0.328,-0.592,0.049,-0.691,PHY
12052,650728.7,4766160.44,383.01,-0.67,0.033,-0.275,-0.324,-0.425,0.317,-0.397,PHY
12052,650728.7,4766160.44,383.01,-0.974,0.301,-0.967,-1.09,-0.929,-0.111,-0.852,PHY
12052,650728.7,4766160.44,383.01,-0.563,0.611,-0.355,0.475,-0.468,0.35,-0.529,PHY
12052,650728.7,4766160.44,383.01,-0.611,0.392,0.053,-0.729,-0.544,0.207,-0.465,PHY
12052,650728.7,4766160.44,383.01,-0.509,-0.366,0.009,-0.283,-0.33,0.365,-0.458,PHY
12052,650728.7,4766160.44,383.01,-0.796,-0.23,-0.476,-0.724,-0.547,0.094,-0.568,PHY
12052,650728.7,4766160.44,383.01,-0.552,0.399,0.387,-1.013,-0.505,0.208,-0.386,PHY
12052,650728.7,4766160.44,383.01,-0.795,-0.573,-0.595,-0.97,-0.553,0.249,-0.541,PHY
12052,650728.7,4766160.44,383.01,-0.731,-0.234,-0.46,-0.758,-0.558,0.252,-0.544,PHY
12052,650728.7,4766160.44,383.01,-0.832,0.247,-0.533,-1.075,-0.788,-0.015,-0.722,PHY
12052,650728.7,4766160.44,383.01,-0.611,-0.087,0.203,-0.772,-0.37,0.204,-0.345,PHY
12052,650728.7,4766160.44,383.01,-0.503,0.753,0.213,-0.521,-0.59,0.215,-0.542,PHY
12052,650728.7,4766160.44,383.01,-0.658,-0.214,0.312,-1.374,-0.438,0.118,-0.352,PHY
12052,650728.7,4766160.44,383.01,-0.754,-0.502,-0.514,-1.212,-0.633,0.266,-0.597,PHY
12052,650728.7,4766160.44,383.01,-0.489,0.251,0.266,-1.196,-0.68,0.184,-0.672,PHY
12052,650728.7,4766160.44,383.01,-0.416,0.398,0.231,-0.058,-0.375,0.442,-0.392,PHY
12052,650728.7,4766160.44,383.01,-0.632,0.553,-0.301,-0.413,-0.64,0.27,-0.579,PHY
12052,650728.7,4766160.44,383.01,-0.716,0.476,-0.472,-0.903,-0.838,0.099,-0.787,PHY
12052,650728.7,4766160.44,383.01,-0.729,0.235,-0.417,-0.811,-0.72,0.084,-0.709,PHY
12052,650728.7,4766160.44,383.01,-0.743,0.322,-0.498,-0.211,-0.569,0.139,-0.578,PHY
12052,650728.7,4766160.44,383.01,-0.731,0.165,-0.372,-0.558,-0.525,0.273,-0.429,PHY
12052,650728.7,4766160.44,383.01,-0.629,-0.267,-0.369,-0.696,-0.592,0.266,-0.67,PHY
12052,650728.7,4766160.44,383.01,-0.691,-0.379,-0.245,-1.057,-0.539,0.248,-0.517,PHY
12052,650728.7,4766160.44,383.01,-0.899,-0.545,-0.646,-0.949,-0.495,0.168,-0.432,PHY
12052,650728.7,4766160.44,383.01,-0.705,-0.225,-0.142,-0.778,-0.453,0.153,-0.458,PHY
12052,650728.7,4766160.44,383.01,-0.652,-0.001,-0.01,-0.881,-0.489,0.219,-0.429,PHY
12052,650728.7,4766160.44,383.01,-0.802,-0.247,-0.973,-0.103,-0.515,0.398,-0.52,PHY
12052,650728.7,4766160.44,383.01,-0.649,0.337,-0.03,-0.555,-0.549,0.051,-0.572,PHY
12052,650728.7,4766160.44,383.01,-0.529,-0.385,0.313,-1.329,-0.494,0.223,-0.513,PHY
12052,650728.7,4766160.44,383.01,-0.675,0,-0.284,-0.202,-0.43,0.196,-0.492,PHY
12052,650728.7,4766160.44,383.01,-0.69,-0.606,-0.346,-0.529,-0.362,0.328,-0.415,PHY
12052,650728.7,4766160.44,383.01,-0.576,0.619,-0.197,-0.013,-0.526,0.306,-0.512,PHY
12052,650728.7,4766160.44,383.01,-0.751,0.277,-0.614,-0.207,-0.683,-0.026,-0.815,PHY
12052,650728.7,4766160.44,383.01,-0.838,-0.16,-0.855,-0.325,-0.587,0.16,-0.634,PHY
12052,650728.7,4766160.44,383.01,-1.081,-0.178,-1.07,-0.959,-0.761,-0.202,-0.753,PHY
12100,650766.86,4766162.95,294.95,-0.375,1.323,-1.039,-0.705,-0.068,-0.062,-0.559,PTS
12100,650766.86,4766162.95,294.95,-0.332,1.143,-0.743,-1.651,-0.211,-0.122,-0.65,PTS
12100,650766.86,4766162.95,294.95,-0.21,1.239,-0.408,-1.003,0.108,0.118,-0.298,PTS
12100,650766.86,4766162.95,294.95,-0.457,0.726,-1.124,-1.548,-0.117,-0.001,-0.518,PTS
12100,650766.86,4766162.95,294.95,-0.335,0.836,-1.055,-1.649,-0.254,0.044,-0.709,PTS
12100,650766.86,4766162.95,294.95,-0.219,1.731,-0.514,-0.943,-0.079,-0.004,-0.487,PTS
12100,650766.86,4766162.95,294.95,-0.429,0.964,-1.006,-0.604,0.116,-0.073,-0.397,PTS
12100,650766.86,4766162.95,294.95,-0.339,0.686,-0.546,-1.669,0.031,-0.053,-0.4,PTS
12100,650766.86,4766162.95,294.95,-0.303,1.296,-0.441,-0.505,0.267,-0.04,-0.19,PTS
12100,650766.86,4766162.95,294.95,-0.39,0.915,-1.039,-1.598,-0.29,-0.22,-0.837,PTS
12100,650766.86,4766162.95,294.95,-0.51,0.792,-1.081,-1.403,-0.094,-0.223,-0.571,PTS
12100,650766.86,4766162.95,294.95,-0.49,0.749,-1.359,-0.933,-0.068,-0.076,-0.593,PTS
12100,650766.86,4766162.95,294.95,-0.419,1.045,-1.059,-1.298,-0.185,-0.163,-0.681,PTS
12100,650766.86,4766162.95,294.95,-0.307,0.942,-0.724,-1.205,-0.002,0.01,-0.469,PTS
12100,650766.86,4766162.95,294.95,-0.497,0.531,-0.828,-1.408,0.09,-0.226,-0.399,PTS
12100,650766.86,4766162.95,294.95,-0.451,0.844,-1.055,-1.227,-0.034,-0.046,-0.469,PTS
12100,650766.86,4766162.95,294.95,-0.32,0.829,-0.556,-1.82,-0.059,-0.021,-0.45,PTS
12100,650766.86,4766162.95,294.95,-0.38,1.281,-0.781,-0.961,0.049,0.008,-0.322,PTS
12100,650766.86,4766162.95,294.95,-0.389,0.584,-0.816,-1.452,-0.041,-0.201,-0.608,PTS
12100,650766.86,4766162.95,294.95,-0.324,1.264,-0.688,-0.766,0.102,0.015,-0.328,PTS
12100,650766.86,4766162.95,294.95,-0.476,0.885,-1.132,-1.248,-0.053,-0.019,-0.452,PTS
12100,650766.86,4766162.95,294.95,-0.433,1.085,-1.055,-1.403,-0.181,-0.103,-0.605,PTS
12100,650766.86,4766162.95,294.95,-0.285,0.757,-0.716,-1.072,0.037,-0.039,-0.531,PTS
12100,650766.86,4766162.95,294.95,-0.445,0.976,-1.113,-0.699,0.012,-0.149,-0.539,PTS
12100,650766.86,4766162.95,294.95,-0.183,0.696,-0.74,-1.043,0.045,0.252,-0.469,PTS
12100,650766.86,4766162.95,294.95,-0.368,1.36,-1.219,-0.692,-0.141,0.039,-0.609,PTS
12100,650766.86,4766162.95,294.95,-0.331,0.897,-0.653,-1.538,-0.073,-0.118,-0.549,PTS
12100,650766.86,4766162.95,294.95,-0.234,1.5,-0.409,-0.739,0.11,0,-0.325,PTS
12100,650766.86,4766162.95,294.95,-0.493,0.926,-0.972,-1.903,-0.226,-0.224,-0.618,PTS
12100,650766.86,4766162.95,294.95,-0.463,0.618,-1.16,-1.386,-0.106,-0.114,-0.615,PTS
12100,650766.86,4766162.95,294.95,-0.299,1.334,-0.635,-0.845,-0.001,-0.147,-0.522,PTS
12100,650766.86,4766162.95,294.95,-0.356,1.137,-0.872,-1.082,-0.067,-0.069,-0.54,PTS
12100,650766.86,4766162.95,294.95,-0.363,1.246,-0.817,-0.984,-0.032,-0.094,-0.493,PTS
12100,650766.86,4766162.95,294.95,-0.284,1.268,-0.714,-1.375,-0.145,0.002,-0.559,PTS
12100,650766.86,4766162.95,294.95,-0.317,1.284,-0.607,-1.61,-0.167,-0.12,-0.571,PTS
12100,650766.86,4766162.95,294.95,-0.272,1.278,-0.675,-1.36,-0.145,-0.025,-0.58,PTS
12100,650766.86,4766162.95,294.95,-0.381,1.145,-1.158,-0.857,-0.107,0.008,-0.59,PTS
12100,650766.86,4766162.95,294.95,-0.354,1.371,-0.944,-1.105,-0.123,0.04,-0.5,PTS
12100,650766.86,4766162.95,294.95,-0.36,0.272,-1.024,-1.259,0.067,0.138,-0.445,PTS
12100,650766.86,4766162.95,294.95,-0.348,0.628,-0.682,-1.344,0.094,0.004,-0.369,PTS
12100,650766.86,4766162.95,294.95,-0.217,1.705,-0.332,-1.352,-0.118,-0.068,-0.489,PTS
12100,650766.86,4766162.95,294.95,-0.495,0.975,-0.91,-1.355,-0.026,-0.196,-0.44,PTS
12100,650766.86,4766162.95,294.95,-0.299,1.642,-0.631,-1.432,-0.226,-0.118,-0.606,PTS
12100,650766.86,4766162.95,294.95,-0.576,0.612,-1.284,-1.545,-0.079,-0.08,-0.46,PTS
12100,650766.86,4766162.95,294.95,-0.35,1.326,-0.897,-0.91,-0.043,0.019,-0.458,PTS
12100,650766.86,4766162.95,294.95,-0.212,1.155,-0.326,-1.531,-0.007,0.05,-0.392,PTS
12100,650766.86,4766162.95,294.95,-0.256,1.717,-0.45,-1.546,-0.216,-0.108,-0.572,PTS
12100,650766.86,4766162.95,294.95,-0.207,0.57,-0.763,-0.764,0.139,0.18,-0.454,PTS
12100,650766.86,4766162.95,294.95,-0.405,1.146,-1.295,-0.888,-0.222,-0.127,-0.785,PTS
12100,650766.86,4766162.95,294.95,-0.312,0.45,-0.917,-1.386,-0.031,0.067,-0.568,PTS
12101,650767.66,4766163.01,293.12,0.023,1.08,-1.295,-1.018,-0.274,-0.339,-1.002,PTS
12101,650767.66,4766163.01,293.12,0.114,1.444,-0.483,-1.498,-0.101,-0.262,-0.59,PTS
12101,650767.66,4766163.01,293.12,0.015,1.155,-0.727,-0.9,0.046,-0.422,-0.608,PTS
12101,650767.66,4766163.01,293.12,0.048,1.202,-0.454,-1.519,-0.072,-0.534,-0.695,PTS
12101,650767.66,4766163.01,293.12,0.252,0.94,-0.234,-1.22,0.085,-0.23,-0.6,PTS
12101,650767.66,4766163.01,293.12,0.026,1.272,-1.033,-1.069,-0.251,-0.506,-0.989,PTS
12101,650767.66,4766163.01,293.12,0.055,1.07,-0.707,-0.845,0.116,-0.25,-0.493,PTS
12101,650767.66,4766163.01,293.12,0.004,0.739,-0.397,-2.066,-0.023,-0.463,-0.569,PTS
12101,650767.66,4766163.01,293.12,-0.018,1.064,-0.794,-0.748,0.143,-0.341,-0.476,PTS
12101,650767.66,4766163.01,293.12,0.167,1.238,-0.51,-1.586,-0.155,-0.254,-0.727,PTS
12101,650767.66,4766163.01,293.12,-0.076,0.954,-1.136,-1.247,-0.126,-0.381,-0.743,PTS
12101,650767.66,4766163.01,293.12,-0.058,0.876,-1.353,-0.976,-0.169,-0.365,-0.883,PTS
12101,650767.66,4766163.01,293.12,0.15,1.045,-0.667,-1.347,-0.103,-0.226,-0.736,PTS
12101,650767.66,4766163.01,293.12,0.229,1.197,-0.267,-1.152,0.083,-0.173,-0.51,PTS
12101,650767.66,4766163.01,293.12,-0.094,0.581,-1.181,-1.417,-0.06,-0.278,-0.655,PTS
12101,650767.66,4766163.01,293.12,0.092,1.572,-0.529,-0.755,0.04,-0.385,-0.571,PTS
12101,650767.66,4766163.01,293.12,0.103,1.562,-0.142,-1.791,-0.118,-0.545,-0.643,PTS
12101,650767.66,4766163.01,293.12,0.136,1.375,-0.332,-1.348,-0.03,-0.386,-0.616,PTS
12101,650767.66,4766163.01,293.12,-0.119,0.846,-0.933,-1.614,-0.126,-0.578,-0.755,PTS
12101,650767.66,4766163.01,293.12,0.096,0.886,-0.715,-1.21,-0.014,-0.274,-0.674,PTS
12101,650767.66,4766163.01,293.12,-0.022,0.756,-0.746,-0.891,0.161,-0.431,-0.539,PTS
12101,650767.66,4766163.01,293.12,0.055,0.876,-0.883,-1.561,-0.148,-0.232,-0.736,PTS
12101,650767.66,4766163.01,293.12,0.119,1.203,-0.64,-1.188,-0.079,-0.323,-0.721,PTS
12101,650767.66,4766163.01,293.12,0.025,1.016,-0.961,-0.687,0.023,-0.346,-0.692,PTS
12101,650767.66,4766163.01,293.12,0.193,1.399,-0.568,-1.105,-0.083,-0.185,-0.676,PTS
12101,650767.66,4766163.01,293.12,0.05,1.382,-0.555,-0.759,0.124,-0.359,-0.467,PTS
12101,650767.66,4766163.01,293.12,0.224,0.666,-0.317,-1.307,0.143,-0.133,-0.511,PTS
12101,650767.66,4766163.01,293.12,0.177,1.414,-0.433,-1.005,-0.08,-0.475,-0.814,PTS
12101,650767.66,4766163.01,293.12,-0.07,0.66,-0.741,-1.959,-0.11,-0.518,-0.71,PTS
12101,650767.66,4766163.01,293.12,0.133,0.905,-0.364,-1.203,0.143,-0.274,-0.482,PTS
12101,650767.66,4766163.01,293.12,0.008,1.186,-0.894,-1.021,0.002,-0.212,-0.532,PTS
12101,650767.66,4766163.01,293.12,0.217,1.243,-0.557,-0.95,0.07,0.051,-0.448,PTS
12101,650767.66,4766163.01,293.12,0.198,1.425,-0.255,-0.862,0.138,-0.231,-0.448,PTS
12101,650767.66,4766163.01,293.12,0.132,1.174,-0.632,-1.305,-0.129,-0.354,-0.793,PTS
12101,650767.66,4766163.01,293.12,0.145,1.33,-0.507,-1.533,-0.149,-0.296,-0.713,PTS
12101,650767.66,4766163.01,293.12,0.093,1.301,-0.651,-1.067,-0.055,-0.361,-0.691,PTS
12101,650767.66,4766163.01,293.12,0.239,1.135,-0.48,-0.855,0.003,-0.283,-0.757,PTS
12101,650767.66,4766163.01,293.12,0.019,1.298,-0.659,-1.113,-0.055,-0.525,-0.711,PTS
12101,650767.66,4766163.01,293.12,0.09,0.724,-0.626,-1.039,0.145,-0.236,-0.517,PTS
12101,650767.66,4766163.01,293.12,0.021,0.965,-0.619,-1.267,0.012,-0.477,-0.654,PTS
12101,650767.66,4766163.01,293.12,0.401,2.095,-0.041,-1.41,-0.235,-0.125,-0.738,PTS
12101,650767.66,4766163.01,293.12,-0.185,0.762,-1.181,-1.495,-0.134,-0.568,-0.768,PTS
12101,650767.66,4766163.01,293.12,0.137,1.328,-0.334,-1.501,-0.106,-0.479,-0.742,PTS
12101,650767.66,4766163.01,293.12,-0.073,0.631,-0.901,-1.693,-0.083,-0.444,-0.702,PTS
12101,650767.66,4766163.01,293.12,0.163,0.905,-0.526,-1.026,0.099,-0.197,-0.562,PTS
12101,650767.66,4766163.01,293.12,0.132,1.353,-0.385,-1.278,-0.046,-0.423,-0.673,PTS
12101,650767.66,4766163.01,293.12,0.103,1.278,-0.38,-1.238,-0.012,-0.498,-0.672,PTS
12101,650767.66,4766163.01,293.12,0.235,0.814,-0.676,-0.888,0.058,-0.028,-0.637,PTS
12101,650767.66,4766163.01,293.12,-0.032,0.928,-0.947,-1.297,-0.089,-0.411,-0.73,PTS
12101,650767.66,4766163.01,293.12,0.017,0.817,-1.028,-0.915,0.04,-0.172,-0.586,PTS
12111,650775.65,4766163.57,274.8,0.333,0.583,-0.384,-0.573,0.008,0.122,-0.164,PTS
12111,650775.65,4766163.57,274.8,0.233,0.699,-0.128,-0.424,0.148,-0.228,-0.076,PTS
12111,650775.65,4766163.57,274.8,0.411,1.053,-0.15,-0.418,-0.013,0.096,-0.164,PTS
12111,650775.65,4766163.57,274.8,0.293,0.96,-0.233,-0.673,-0.057,-0.096,-0.208,PTS
12111,650775.65,4766163.57,274.8,0.065,1.287,-0.617,-1.01,-0.27,-0.307,-0.295,PTS
12111,650775.65,4766163.57,274.8,0.22,0.849,-0.753,-0.386,-0.129,-0.01,-0.312,PTS
12111,650775.65,4766163.57,274.8,0.436,1.224,0.213,-0.768,-0.019,-0.02,-0.121,PTS
12111,650775.65,4766163.57,274.8,-0.093,0.847,-0.941,-1.307,-0.278,-0.334,-0.27,PTS
12111,650775.65,4766163.57,274.8,0.025,0.106,-0.82,-1.045,-0.081,-0.261,-0.292,PTS
12111,650775.65,4766163.57,274.8,0.078,0.86,-0.718,-1.023,-0.223,-0.226,-0.308,PTS
12111,650775.65,4766163.57,274.8,0.19,1.297,-0.117,-0.533,0.011,-0.31,-0.093,PTS
12111,650775.65,4766163.57,274.8,0.298,1.416,-0.17,-0.39,-0.05,-0.12,-0.156,PTS
12111,650775.65,4766163.57,274.8,0.192,0.484,-0.86,-0.511,-0.132,-0.047,-0.383,PTS
12111,650775.65,4766163.57,274.8,0.346,1.485,-0.355,-0.299,-0.195,-0.107,-0.378,PTS
12111,650775.65,4766163.57,274.8,0.358,1.324,-0.018,-0.519,-0.066,-0.158,-0.229,PTS
12111,650775.65,4766163.57,274.8,0.296,0.891,-0.297,-0.166,0.061,-0.109,-0.185,PTS
12111,650775.65,4766163.57,274.8,0.205,1.112,-0.321,-0.597,-0.069,-0.224,-0.206,PTS
12111,650775.65,4766163.57,274.8,0.2,1.33,-0.354,-0.705,-0.176,-0.263,-0.286,PTS
12111,650775.65,4766163.57,274.8,0.255,1.399,-0.359,-0.806,-0.237,-0.139,-0.306,PTS
12111,650775.65,4766163.57,274.8,0.301,0.986,-0.216,-0.071,0.088,-0.164,-0.172,PTS
12111,650775.65,4766163.57,274.8,0.265,1.426,-0.351,0.165,0.074,-0.05,-0.053,PTS
12111,650775.65,4766163.57,274.8,0.231,0.965,-0.248,-0.804,-0.049,-0.134,-0.146,PTS
12111,650775.65,4766163.57,274.8,0.29,1.173,-0.336,-0.501,-0.046,0.055,-0.104,PTS
12111,650775.65,4766163.57,274.8,0.392,1.118,-0.092,-0.047,0.138,0.096,-0.011,PTS
12111,650775.65,4766163.57,274.8,0.415,1.191,-0.033,-0.904,-0.198,-0.092,-0.364,PTS
12111,650775.65,4766163.57,274.8,0.249,0.419,-0.526,-0.574,0.037,0.069,-0.139,PTS
12111,650775.65,4766163.57,274.8,0.412,1.275,-0.302,-0.115,-0.049,0.12,-0.211,PTS
12111,650775.65,4766163.57,274.8,0.369,1.412,-0.031,-0.383,-0.103,-0.251,-0.335,PTS
12111,650775.65,4766163.57,274.8,0.371,1.391,-0.123,-0.551,-0.127,-0.062,-0.25,PTS
12111,650775.65,4766163.57,274.8,0.379,1.265,-0.174,-0.669,-0.147,-0.001,-0.261,PTS
12111,650775.65,4766163.57,274.8,0.435,1.051,0.219,-0.638,0.111,0.103,0.038,PTS
12111,650775.65,4766163.57,274.8,0.362,1.137,-0.338,-0.69,-0.18,0.051,-0.3,PTS
12111,650775.65,4766163.57,274.8,0.22,0.942,-0.358,-0.746,-0.106,-0.201,-0.267,PTS
12111,650775.65,4766163.57,274.8,0.224,0.597,-0.363,-0.472,0.07,-0.131,-0.147,PTS
12111,650775.65,4766163.57,274.8,0.255,1.054,-0.264,-0.665,-0.036,-0.063,-0.117,PTS
12111,650775.65,4766163.57,274.8,0.205,0.671,-0.376,-0.288,0.121,-0.134,-0.088,PTS
12111,650775.65,4766163.57,274.8,0.119,0.637,-0.46,-0.632,0.046,-0.216,-0.109,PTS
12111,650775.65,4766163.57,274.8,0.217,0.722,-0.317,-0.757,0.005,-0.103,-0.123,PTS
12111,650775.65,4766163.57,274.8,0.016,1.5,-1.067,-0.403,-0.315,-0.249,-0.374,PTS
12111,650775.65,4766163.57,274.8,-0.099,0.05,-0.82,-0.927,0.176,-0.096,0.171,PTS
12111,650775.65,4766163.57,274.8,0.159,0.96,-0.74,-0.624,-0.199,-0.142,-0.349,PTS
12111,650775.65,4766163.57,274.8,-0.003,0.759,-0.667,-0.86,-0.022,-0.203,-0.038,PTS
12111,650775.65,4766163.57,274.8,0.242,1.197,0.025,-0.924,-0.064,-0.316,-0.173,PTS
12111,650775.65,4766163.57,274.8,0.298,1.149,-0.128,-0.982,-0.134,-0.096,-0.2,PTS
12111,650775.65,4766163.57,274.8,0.21,1.427,-0.37,-0.682,-0.151,-0.116,-0.17,PTS
12111,650775.65,4766163.57,274.8,0.097,1.052,-0.395,-0.642,-0.007,-0.275,-0.083,PTS
12111,650775.65,4766163.57,274.8,0.188,0.387,-0.129,-0.972,0.187,-0.027,0.136,PTS
12111,650775.65,4766163.57,274.8,0.322,1.129,-0.227,-0.469,0.017,0.099,-0.036,PTS
12111,650775.65,4766163.57,274.8,0.183,1.317,-0.215,-0.156,0.151,-0.108,0.118,PTS
12111,650775.65,4766163.57,274.8,0.385,1.584,-0.236,-0.312,-0.14,0.031,-0.235,PTS
12117,650780.49,4766163.85,263.82,0.011,0.838,-0.411,-1.306,0.032,0.163,-0.355,PHY
12117,650780.49,4766163.85,263.82,-0.045,1.058,-0.538,-0.911,0.165,0.341,-0.085,PHY
12117,650780.49,4766163.85,263.82,0.043,0.946,-0.327,-0.981,0.187,0.336,-0.126,PHY
12117,650780.49,4766163.85,263.82,0.024,0.775,-0.392,-1.133,0.177,0.372,-0.123,PHY
12117,650780.49,4766163.85,263.82,0.169,1.683,-0.051,-1.119,-0.045,0.221,-0.352,PHY
12117,650780.49,4766163.85,263.82,-0.109,0.528,-0.434,-1.091,0.218,-0.005,-0.233,PHY
12117,650780.49,4766163.85,263.82,-0.003,1.264,-0.212,-1.334,0.1,0.251,-0.097,PHY
